Ativo,Rentabilidade,Vencimento
SLCE3-02,0.0470945591946792,1
USIM5-02,0.000418810003639081,1
BEEF3-02,0.0232733394854607,1
DXCO3-02,0.00743632151355622,1
MRFG3-02,0.0248716958642747,1
VALE3-03,0.0374125928581563,2
PETR4-03,0.0692928221595843,2
ITUB4-03,0.00893765703590943,2
PETR3-03,0.0642595519115319,2
B3SA3-03,0.0174793108491276,2
ELET3-03,0.0178110395408893,2
BBAS3-03,0.0181268348671526,2
RENT3-03,0.0372033299825318,2
ITSA4-03,0.00607176145251564,2
WEGE3-03,0.0826206264257674,2
BPAC11-03,0.0639716573756817,2
SUZB3-03,0.0225214181815891,2
EQTL3-03,0.0388740851074831,2
RADL3-03,0.0462269988233053,2
PRIO3-03,0.168481907144765,2
GGBR4-03,0.056134084282109,2
RAIL3-03,0.00471107692784423,2
JBSS3-03,0.00244827681469295,2
CSAN3-03,0.03420885181011,2
BBSE3-03,0.016106423722918,2
ENEV3-03,0.0434762349086941,2
SBSP3-03,0.0170150596796128,2
CMIG4-03,0.0369753073459562,2
VIVT3-03,0.0172717578702879,2
HYPE3-03,0.0329675453737686,2
KLBN11-03,0.0307061588016584,2
TOTS3-03,0.0476436140684191,2
CCRO3-03,0.00592892204978113,2
CPLE6-03,0.0560624223550354,2
ELET6-03,0.0286834127255629,2
ENGI11-03,0.0124590301184391,2
EGIE3-03,0.018064748861504,2
TAEE11-03,0.0484965798937191,2
GOAU4-03,0.0573494359185887,2
CSNA3-03,0.00510018929974021,2
MULT3-03,0.00490881937061771,2
CPFE3-03,0.0291805073912168,2
BRAP4-03,0.061823929731649,2
ENBR3-03,0.0303797950858458,2
SMTO3-03,0.0488978152036079,2
CYRE3-03,0.0150107197778133,2
ARZZ3-03,0.0331095602126781,2
SLCE3-03,0.0714671348233846,2
USIM5-03,0.000628280776550083,2
BEEF3-03,0.035112346276617,2
DXCO3-03,0.0111751937195954,2
MRFG3-03,0.0375385665220349,2
VALE3-04,0.0501919555826726,3
PETR4-04,0.0934414559466907,3
ITUB4-04,0.0119345924133427,3
PETR3-04,0.0865842583022218,3
B3SA3-04,0.023373380713956,3
ELET3-04,0.0238182719986695,3
BBAS3-04,0.0242418394792603,3
RENT3-04,0.0499095108397081,3
ITSA4-04,0.00810386341882507,3
WEGE3-04,0.111650829011906,3
BPAC11-04,0.0861923644693703,3
SUZB3-04,0.0301407129821418,3
EQTL3-04,0.0521650794612789,3
RADL3-04,0.0621060864488907,3
PRIO3-04,0.23072962929488,3
GGBR4-04,0.0755371393502873,3
RAIL3-04,0.00628636280513151,3
JBSS3-04,0.0032657003754899,3
CSAN3-04,0.045869907727057,3
BBSE3-04,0.0215326748654614,3
ENEV3-04,0.0583843675574931,3
SBSP3-04,0.0227508407428649,3
CMIG4-04,0.0496017674357556,3
VIVT3-04,0.0230950497841202,3
HYPE3-04,0.0441965058489839,3
KLBN11-04,0.041149659609593,3
TOTS3-04,0.0640240068955902,3
CCRO3-04,0.00791303071447902,3
CPLE6-04,0.0754398358057859,3
ELET6-04,0.0384262293430833,3
ENGI11-04,0.0166464401298732,3
EGIE3-04,0.0241585617891062,3
TAEE11-04,0.0651792333932262,3
GOAU4-04,0.0771876955065895,3
CSNA3-04,0.00680602629122928,3
MULT3-04,0.00655044144428807,3
